"STATISTIC","Statistic Label","TLIST(A1)","Year","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEA04C02","Volume of Production Index in Building and Construction","2002","2002","111","Residential building","Base 2015=100","499.10739821"
"BEA04C02","Volume of Production Index in Building and Construction","2002","2002","112","Non-residential building","Base 2015=100","131.46589064"
"BEA04C02","Volume of Production Index in Building and Construction","2002","2002","12","Civil engineering","Base 2015=100","112.69559827"
"BEA04C02","Volume of Production Index in Building and Construction","2003","2003","-","All building and construction","Base 2015=100","243.65138314"
"BEA04C02","Volume of Production Index in Building and Construction","2003","2003","11","Building (excluding civil engineering)","Base 2015=100","302.64431969"
"BEA04C02","Volume of Production Index in Building and Construction","2003","2003","111","Residential building","Base 2015=100","554.67397005"
"BEA04C02","Volume of Production Index in Building and Construction","2003","2003","112","Non-residential building","Base 2015=100","123.09782638"
"BEA04C02","Volume of Production Index in Building and Construction","2003","2003","12","Civil engineering","Base 2015=100","114.2177579"
"BEA04C02","Volume of Production Index in Building and Construction","2004","2004","-","All building and construction","Base 2015=100","305.5688523"
"BEA04C02","Volume of Production Index in Building and Construction","2004","2004","11","Building (excluding civil engineering)","Base 2015=100","385.67016809"
"BEA04C02","Volume of Production Index in Building and Construction","2004","2004","111","Residential building","Base 2015=100","731.6334288"
"BEA04C02","Volume of Production Index in Building and Construction","2004","2004","112","Non-residential building","Base 2015=100","139.32946604"
"BEA04C02","Volume of Production Index in Building and Construction","2004","2004","12","Civil engineering","Base 2015=100","129.69860925"
"BEA04C02","Volume of Production Index in Building and Construction","2005","2005","-","All building and construction","Base 2015=100","335.76469497"
"BEA04C02","Volume of Production Index in Building and Construction","2005","2005","11","Building (excluding civil engineering)","Base 2015=100","422.55046775"
"BEA04C02","Volume of Production Index in Building and Construction","2005","2005","111","Residential building","Base 2015=100","806.3406191"
"BEA04C02","Volume of Production Index in Building and Construction","2005","2005","112","Non-residential building","Base 2015=100","149.29782817"
"BEA04C02","Volume of Production Index in Building and Construction","2005","2005","12","Civil engineering","Base 2015=100","145.24123978"
"BEA04C02","Volume of Production Index in Building and Construction","2006","2006","-","All building and construction","Base 2015=100","348.89085571"
"BEA04C02","Volume of Production Index in Building and Construction","2006","2006","11","Building (excluding civil engineering)","Base 2015=100","433.42484217"
"BEA04C02","Volume of Production Index in Building and Construction","2006","2006","111","Residential building","Base 2015=100","820.00436684"
"BEA04C02","Volume of Production Index in Building and Construction","2006","2006","112","Non-residential building","Base 2015=100","158.1535589"
"BEA04C02","Volume of Production Index in Building and Construction","2006","2006","12","Civil engineering","Base 2015=100","163.41759451"
"BEA04C02","Volume of Production Index in Building and Construction","2007","2007","-","All building and construction","Base 2015=100","301.96224979"
"BEA04C02","Volume of Production Index in Building and Construction","2007","2007","11","Building (excluding civil engineering)","Base 2015=100","361.90875718"
"BEA04C02","Volume of Production Index in Building and Construction","2007","2007","111","Residential building","Base 2015=100","645.32863934"
"BEA04C02","Volume of Production Index in Building and Construction","2007","2007","112","Non-residential building","Base 2015=100","159.90953062"
"BEA04C02","Volume of Production Index in Building and Construction","2007","2007","12","Civil engineering","Base 2015=100","170.7022976"
"BEA04C02","Volume of Production Index in Building and Construction","2008","2008","-","All building and construction","Base 2015=100","213.69749521"
"BEA04C02","Volume of Production Index in Building and Construction","2008","2008","11","Building (excluding civil engineering)","Base 2015=100","238.35313612"
"BEA04C02","Volume of Production Index in Building and Construction","2008","2008","111","Residential building","Base 2015=100","353.48726588"
"BEA04C02","Volume of Production Index in Building and Construction","2008","2008","112","Non-residential building","Base 2015=100","155.91246297"
"BEA04C02","Volume of Production Index in Building and Construction","2008","2008","12","Civil engineering","Base 2015=100","160.14868726"
"BEA04C02","Volume of Production Index in Building and Construction","2009","2009","-","All building and construction","Base 2015=100","134.80092335"
"BEA04C02","Volume of Production Index in Building and Construction","2009","2009","11","Building (excluding civil engineering)","Base 2015=100","132.93347473"
"BEA04C02","Volume of Production Index in Building and Construction","2009","2009","111","Residential building","Base 2015=100","148.11855146"
"BEA04C02","Volume of Production Index in Building and Construction","2009","2009","112","Non-residential building","Base 2015=100","121.63563066"
"BEA04C02","Volume of Production Index in Building and Construction","2009","2009","12","Civil engineering","Base 2015=100","139.59503584"
"BEA04C02","Volume of Production Index in Building and Construction","2010","2010","-","All building and construction","Base 2015=100","94.731838159"
"BEA04C02","Volume of Production Index in Building and Construction","2010","2010","11","Building (excluding civil engineering)","Base 2015=100","89.090271103"
"BEA04C02","Volume of Production Index in Building and Construction","2010","2010","111","Residential building","Base 2015=100","92.98330058"
"BEA04C02","Volume of Production Index in Building and Construction","2010","2010","112","Non-residential building","Base 2015=100","85.963628945"
"BEA04C02","Volume of Production Index in Building and Construction","2010","2010","12","Civil engineering","Base 2015=100","107.68686321"
"BEA04C02","Volume of Production Index in Building and Construction","2011","2011","-","All building and construction","Base 2015=100","78.921447786"
"BEA04C02","Volume of Production Index in Building and Construction","2011","2011","11","Building (excluding civil engineering)","Base 2015=100","77.081954187"
"BEA04C02","Volume of Production Index in Building and Construction","2011","2011","111","Residential building","Base 2015=100","67.870287395"
"BEA04C02","Volume of Production Index in Building and Construction","2011","2011","112","Non-residential building","Base 2015=100","84.480199153"
"BEA04C02","Volume of Production Index in Building and Construction","2011","2011","12","Civil engineering","Base 2015=100","83.145573003"
"BEA04C02","Volume of Production Index in Building and Construction","2012","2012","-","All building and construction","Base 2015=100","76.985720241"
"BEA04C02","Volume of Production Index in Building and Construction","2012","2012","11","Building (excluding civil engineering)","Base 2015=100","68.37384753"
"BEA04C02","Volume of Production Index in Building and Construction","2012","2012","111","Residential building","Base 2015=100","59.460629792"
"BEA04C02","Volume of Production Index in Building and Construction","2012","2012","112","Non-residential building","Base 2015=100","75.532396548"
"BEA04C02","Volume of Production Index in Building and Construction","2012","2012","12","Civil engineering","Base 2015=100","96.76161329"
"BEA04C02","Volume of Production Index in Building and Construction","2013","2013","-","All building and construction","Base 2015=100","85.71923038"
"BEA04C02","Volume of Production Index in Building and Construction","2013","2013","11","Building (excluding civil engineering)","Base 2015=100","78.972840277"
"BEA04C02","Volume of Production Index in Building and Construction","2013","2013","111","Residential building","Base 2015=100","65.825111756"
"BEA04C02","Volume of Production Index in Building and Construction","2013","2013","112","Non-residential building","Base 2015=100","89.532288263"
"BEA04C02","Volume of Production Index in Building and Construction","2013","2013","12","Civil engineering","Base 2015=100","101.21131829"
"BEA04C02","Volume of Production Index in Building and Construction","2014","2014","-","All building and construction","Base 2015=100","92.730278239"
"BEA04C02","Volume of Production Index in Building and Construction","2014","2014","11","Building (excluding civil engineering)","Base 2015=100","87.657144113"
